bunch_number,peak_lumi,intensity_beam_1,intensity_beam_2,pileup
0,4.554722E-8,0.0,0.0,3.11E-5
1,3.0822318E-7,0.153,0.147,2.1E-4
2,-5.687667E-8,0.0,0.0,-3.88E-5
3,5.0884355E-6,0.167,0.167,0.00347
4,-8.547833E-8,0.0,0.0,-5.83E-5
5,5.2913374E-6,0.146,0.144,0.00361
6,-3.9340446E-8,0.0,0.0,-2.68E-5
7,6.912172E-6,0.161,0.159,0.00471
8,-1.6757524E-7,0.0,0.0,-1.14E-4
9,3.1167713E-6,0.15,0.145,0.00213
10,1.7436075E-7,0.0,0.0,1.19E-4
11,4.9250584E-6,0.165,0.161,0.00336
12,-3.4190026E-7,0.0,0.0,-2.33E-4
13,4.269678E-6,0.146,0.139,0.00291
14,6.083147E-8,0.0,0.0,4.15E-5
15,4.574481E-6,0.163,0.157,0.00312
16,-3.313982E-8,0.0,0.0,-2.26E-5
17,7.6745955E-8,0.0,0.0,5.23E-5
18,-1.04280424E-7,0.0,0.0,-7.11E-5
19,6.955276E-6,0.151,0.152,0.00474
20,4.0966018E-8,0.0,0.0,2.79E-5
21,5.981528E-6,0.174,0.162,0.00408
22,-1.212817E-7,0.0,0.0,-8.27E-5
23,3.1415948E-6,0.146,0.147,0.00214
24,-1.1995243E-7,0.0,0.0,-8.18E-5
25,5.56374E-6,0.167,0.157,0.00379
26,-8.942083E-8,0.0,0.0,-6.1E-5
27,2.66142E-6,0.148,0.149,0.00182
28,-1.2102423E-7,0.0,0.0,-8.25E-5
29,6.7088877E-6,0.168,0.16,0.00458
30,-5.3161674E-8,0.0,0.0,-3.63E-5
31,3.4951415E-6,0.141,0.142,0.00238
32,-9.38533E-8,0.0,0.0,-6.4E-5
33,6.499944E-6,0.166,0.156,0.00443
34,-6.6119384E-8,0.0,0.0,-4.51E-5
35,-5.1409664E-8,0.0,0.0,-3.51E-5
36,-2.2432163E-8,0.0,0.0,-1.53E-5
37,4.2604565E-6,0.156,0.153,0.00291
38,-1.1524825E-7,0.0,0.0,-7.86E-5
39,5.6386107E-6,0.169,0.171,0.00385
40,-7.2823056E-8,0.0,0.0,-4.97E-5
41,5.803661E-6,0.15,0.149,0.00396
42,-5.5723778E-8,0.0,0.0,-3.8E-5
43,6.6442517E-6,0.165,0.165,0.00453
44,-6.298122E-8,0.0,0.0,-4.3E-5
45,3.7645946E-6,0.154,0.151,0.00257
46,-1.07907034E-7,0.0,0.0,-7.36E-5
47,4.8523775E-6,0.169,0.172,0.00331
48,-9.620251E-8,0.0,0.0,-6.56E-5
49,3.5035973E-6,0.148,0.147,0.00239
50,-1.5003901E-7,0.0,0.0,-1.02E-4
51,8.590336E-6,0.168,0.171,0.00586
52,-3.848039E-8,0.0,0.0,-2.62E-5
53,3.7215284E-9,0.0,0.0,2.54E-6
54,-4.102059E-8,0.0,0.0,-2.8E-5
55,3.6665917E-6,0.161,0.159,0.0025
56,-1.4749074E-7,0.0,0.0,-1.01E-4
57,5.9654935E-6,0.173,0.17,0.00407
58,-1.3109818E-7,0.0,0.0,-8.94E-5
59,6.5123995E-6,0.155,0.155,0.00444
60,-5.3122474E-8,0.0,0.0,-3.62E-5
61,6.2860227E-6,0.166,0.164,0.00429
62,-9.6078E-8,0.0,0.0,-6.55E-5
63,7.1817876E-6,0.157,0.157,0.0049
64,-4.8671936E-8,0.0,0.0,-3.32E-5
65,6.5219947E-6,0.166,0.165,0.00445
66,-9.399165E-8,0.0,0.0,-6.41E-5
67,4.3246273E-6,0.15,0.152,0.00295
68,-1.2949182E-7,0.0,0.0,-8.83E-5
69,5.91043E-6,0.159,0.158,0.00403
70,-1.046505E-7,0.0,0.0,-7.14E-5
71,-6.93006E-8,0.0,0.0,-4.73E-5
72,-5.6945456E-8,0.0,0.0,-3.88E-5
73,6.669508E-6,0.163,0.163,0.00455
